signature,channel_id,channel_name,msg_id,message,cleaned_message,date,msg_link,msg_from_peer,msg_from_id,views,number_replies,number_forwards,is_forward,forward_msg_from_peer_type,forward_msg_from_peer_id,forward_msg_from_peer_name,forward_msg_date,forward_msg_date_string,forward_msg_link,is_reply,reply_to_msg_id,reply_msg_link,contains_media,media_type,has_url,url,domain,url_title,url_description,document_type,document_id,document_video_duration,document_filename,poll_id,poll_question,poll_total_voters,poll_results,contact_phone_number,contact_name,contact_userid,geo_type,lat,lng,venue_id,venue_type,venue_title,venue_address,venue_provider
msg_iteration.2479.user.barronsbunker.post.64618,1408598946,barronsbunker,64618,, ,2024-11-25 21:50:10+00:00,https://t.me/barronsbunker/64618,,,213,0,2,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.2480.user.barronsbunker.post.64617,1408598946,barronsbunker,64617,, ,2024-11-25 20:38:39+00:00,https://t.me/barronsbunker/64617,,,270,0,7,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.2481.user.barronsbunker.post.64616,1408598946,barronsbunker,64616,, ,2024-11-25 20:38:15+00:00,https://t.me/barronsbunker/64616,,,266,2,3,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.2482.user.barronsbunker.post.64615,1408598946,barronsbunker,64615,, ,2024-11-25 20:37:59+00:00,https://t.me/barronsbunker/64615,,,213,0,1,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.2483.user.barronsbunker.post.64614,1408598946,barronsbunker,64614,, ,2024-11-25 20:37:40+00:00,https://t.me/barronsbunker/64614,,,212,0,4,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.2484.user.barronsbunker.post.64613,1408598946,barronsbunker,64613,, ,2024-11-25 20:37:27+00:00,https://t.me/barronsbunker/64613,,,405,0,5,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.2485.user.barronsbunker.post.64612,1408598946,barronsbunker,64612,, ,2024-11-25 20:36:44+00:00,https://t.me/barronsbunker/64612,,,225,1,4,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.2486.user.barronsbunker.post.64611,1408598946,barronsbunker,64611,,The new attorney general nominee is a fan of red flag laws,2024-11-25 20:28:21+00:00,https://t.me/barronsbunker/64611,,,554,2,11,0,,,,,,,0,,,1,MessageMediaDocument,0,,,,,video/mp4,5.920230882706201e+18,20.968,2024_11_22_Lukewearechange_1860059254981558283_naRdZaJ_l_JYb_dq.mp4,,,,,,,,,,,,,,,
msg_iteration.2487.user.barronsbunker.post.64610,1408598946,barronsbunker,64610,, ,2024-11-25 15:28:32+00:00,https://t.me/barronsbunker/64610,,,255,0,3,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.2488.user.barronsbunker.post.64609,1408598946,barronsbunker,64609,, ,2024-11-25 15:28:18+00:00,https://t.me/barronsbunker/64609,,,226,0,5,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
