signature,channel_id,channel_name,msg_id,message,cleaned_message,date,msg_link,msg_from_peer,msg_from_id,views,number_replies,number_forwards,is_forward,forward_msg_from_peer_type,forward_msg_from_peer_id,forward_msg_from_peer_name,forward_msg_date,forward_msg_date_string,forward_msg_link,is_reply,reply_to_msg_id,reply_msg_link,contains_media,media_type,has_url,url,domain,url_title,url_description,document_type,document_id,document_video_duration,document_filename,poll_id,poll_question,poll_total_voters,poll_results,contact_phone_number,contact_name,contact_userid,geo_type,lat,lng,venue_id,venue_type,venue_title,venue_address,venue_provider
msg_iteration.550.user.AntifaWatch2.post.341,1325572722,AntifaWatch2,341,,"Portland #Antifa had an event last night in 'solidarity' with Akron Ohio. PPB didn't make an announcement about it or declare an unlawful assembly. Based on video they did a little graffiti, burned a flag, and were told to get out of the street",2022-07-04 16:16:25+00:00,https://t.me/AntifaWatch2/341,,,863,0,7,0,,,,,,,0,,,1,MessageMediaDocument,0,,,,,video/mp4,5.053414488468881e+18,40.0,2022_07_04-16_15_58_1543992020007620608_AntifaWatch2_video.mp4,,,,,,,,,,,,,,,
msg_iteration.551.user.AntifaWatch2.post.340,1325572722,AntifaWatch2,340,,Pro abortion protestors shut down an Independence day parade in Lansing Michigan today. Some NLG greenhats in the mix,2022-07-04 15:55:39+00:00,https://t.me/AntifaWatch2/340,,,2570,0,29,0,,,,,,,0,,,1,MessageMediaDocument,0,,,,,video/mp4,5.053414488468881e+18,11.0,2022_07_04-15_55_22_1543986836703518720_AntifaWatch2_video.mp4,,,,,,,,,,,,,,,
msg_iteration.552.user.AntifaWatch2.post.339,1325572722,AntifaWatch2,339,, ,2022-07-04 14:53:50+00:00,https://t.me/AntifaWatch2/339,,,2263,0,4,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.553.user.AntifaWatch2.post.338,1325572722,AntifaWatch2,338,, ,2022-07-04 14:53:49+00:00,https://t.me/AntifaWatch2/338,,,2253,0,4,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.554.user.AntifaWatch2.post.337,1325572722,AntifaWatch2,337,,"Catholic Church in Hillsborough North Carolina vandalized with pro abortion graffiti. 'I heart abortion', 'F*ck the church', and Anarchist symbols among it https://www.carolinajournal.com/hillsborough-catholic-parish-vandalized-w-fck-the-church-and-i-love-abortion/",2022-07-04 14:53:49+00:00,https://t.me/AntifaWatch2/337,,,2248,0,4,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.555.user.AntifaWatch2.post.336,1325572722,AntifaWatch2,336,, ,2022-07-04 14:50:16+00:00,https://t.me/AntifaWatch2/336,,,833,0,3,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.556.user.AntifaWatch2.post.335,1325572722,AntifaWatch2,335,, ,2022-07-04 14:50:15+00:00,https://t.me/AntifaWatch2/335,,,824,0,3,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.557.user.AntifaWatch2.post.334,1325572722,AntifaWatch2,334,, ,2022-07-04 14:50:15+00:00,https://t.me/AntifaWatch2/334,,,826,0,3,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.558.user.AntifaWatch2.post.333,1325572722,AntifaWatch2,333,,Some damage from last night's #BLM protest turned riot. #Akron's mayor has declared a curfew from 9PM-6AM downtown and canceled fireworks as a result.,2022-07-04 14:50:15+00:00,https://t.me/AntifaWatch2/333,,,822,0,3,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.559.user.AntifaWatch2.post.332,1325572722,AntifaWatch2,332,,Dumpster fire at BLM protest in #Akron Ohio. Tear gas deployed,2022-07-04 04:23:18+00:00,https://t.me/AntifaWatch2/332,,,2857,0,13,0,,,,,,,0,,,1,MessageMediaDocument,0,,,,,video/mp4,5.051162688655197e+18,10.0,2022_07_04-04_22_59_1543812592405299202_AntifaWatch2_video.mp4,,,,,,,,,,,,,,,
