signature,channel_id,channel_name,msg_id,message,cleaned_message,date,msg_link,msg_from_peer,msg_from_id,views,number_replies,number_forwards,is_forward,forward_msg_from_peer_type,forward_msg_from_peer_id,forward_msg_from_peer_name,forward_msg_date,forward_msg_date_string,forward_msg_link,is_reply,reply_to_msg_id,reply_msg_link,contains_media,media_type,has_url,url,domain,url_title,url_description,document_type,document_id,document_video_duration,document_filename,poll_id,poll_question,poll_total_voters,poll_results,contact_phone_number,contact_name,contact_userid,geo_type,lat,lng,venue_id,venue_type,venue_title,venue_address,venue_provider
msg_iteration.14072.user.surfing_the_kali_yuga.post.13485,1269404313,surfing_the_kali_yuga,13485,,Una aceptación total de sí mismo trae consigo una trascendencia total de sí mismo. Adyashanti.,2022-09-28 02:43:18+00:00,https://t.me/surfing_the_kali_yuga/13485,,,664,0,5,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.14073.user.surfing_the_kali_yuga.post.13484,1269404313,surfing_the_kali_yuga,13484,,La música recompone a una persona; las notas musicales alivian hasta la peor experiencia posible. https://youtu.be/RYlbK2CvJ8U,2022-09-27 21:46:16+00:00,https://t.me/surfing_the_kali_yuga/13484,,,686,0,7,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.14074.user.surfing_the_kali_yuga.post.13483,1269404313,surfing_the_kali_yuga,13483,,Imprescindible. @edicionesfides,2022-09-27 21:45:02+00:00,https://t.me/surfing_the_kali_yuga/13483,,,642,0,2,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.14075.user.surfing_the_kali_yuga.post.13482,1269404313,surfing_the_kali_yuga,13482,, ,2022-09-27 19:58:40+00:00,https://t.me/surfing_the_kali_yuga/13482,,,681,0,7,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.14076.user.surfing_the_kali_yuga.post.13481,1269404313,surfing_the_kali_yuga,13481,, ,2022-09-27 19:58:40+00:00,https://t.me/surfing_the_kali_yuga/13481,,,682,0,7,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.14077.user.surfing_the_kali_yuga.post.13480,1269404313,surfing_the_kali_yuga,13480,, ,2022-09-27 19:58:40+00:00,https://t.me/surfing_the_kali_yuga/13480,,,686,0,7,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.14078.user.surfing_the_kali_yuga.post.13479,1269404313,surfing_the_kali_yuga,13479,,Interesados: werwolf@gmx.es,2022-09-27 19:58:40+00:00,https://t.me/surfing_the_kali_yuga/13479,,,671,0,7,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.14079.user.surfing_the_kali_yuga.post.13478,1269404313,surfing_the_kali_yuga,13478,,"Nos quisieron enterrar, pero no sabían que éramos semillas.",2022-09-27 19:55:35+00:00,https://t.me/surfing_the_kali_yuga/13478,,,799,0,4,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.14080.user.surfing_the_kali_yuga.post.13477,1269404313,surfing_the_kali_yuga,13477,,"Trae el hombre reclusa en el alma una eternidad, y algo puede aprender el hombre en esta eternidad con respecto a la esencia de su alma misma. Thomas Carlyle.",2022-09-27 19:52:31+00:00,https://t.me/surfing_the_kali_yuga/13477,,,660,0,2,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.14081.user.surfing_the_kali_yuga.post.13476,1269404313,surfing_the_kali_yuga,13476,,"Creo en la vida eterna en este mundo, hay momentos en que el tiempo se detiene de repente para dar lugar a la eternidad. Fiodor Dostoievski. https://youtu.be/tA1SMXAjabA",2022-09-27 19:49:20+00:00,https://t.me/surfing_the_kali_yuga/13476,,,647,0,3,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
